Authors,Title,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Publisher
"Pandey S.K., Rathee D., Tripathi A.K.","Software defect prediction using k-pca and various kernel-based extreme learning machine: An empirical study",2020,"14","7",,"768","782",,"10.1049/iet-sen.2020.0119","Department of Computer Science and Engineering, Indian Institute of Technology-BHU, Varanasi, India","Pandey, S.K., Department of Computer Science and Engineering, Indian Institute of Technology-BHU, Varanasi, India; Rathee, D., Department of Computer Science and Engineering, Indian Institute of Technology-BHU, Varanasi, India; Tripathi, A.K., Department of Computer Science and Engineering, Indian Institute of Technology-BHU, Varanasi, India","Predicting defects during software testing reduces an enormous amount of testing effort and help to deliver a high-quality software system. Owing to the skewed distribution of public datasets, software defect prediction (SDP) suffers from the class imbalance problem, which leads to unsatisfactory results. Overfitting is also one of the biggest challenges for SDP. In this study, the authors performed an empirical study of these two problems and investigated their probable solution. They have conducted 4840 experiments over five different classifiers using eight NASA projects and 14 PROMISE repository datasets. They suggested and investigated the varying kernel function of an extreme learning machine (ELM) along with kernel principal component analysis (K-PCA) and found better results compared with other classical SDP models. They used the synthetic minority oversampling technique as a sampling method to address class imbalance problems and k-fold cross-validation to avoid the overfitting problem. They found ELM-based SDP has a high receiver operating characteristic curve over 11 out of 22 datasets. The proposed model has higher precision and F-score values over ten and nine, respectively, compared with other state-of-the-art models. The Mathews correlation coefficient (MCC) of 17 datasets of the proposed model surpasses other classical models' MCC. © The Institution of Engineering and Technology 2020.",,"John Wiley and Sons Inc"
"Zhou Y., Mazzuchi T.A., Sarkani S.","M-AdaBoost-A based ensemble system for network intrusion detection",2020,"162",,"113864","","",,"10.1016/j.eswa.2020.113864","Department of Engineering Management and Systems Engineering at the George Washington University, Washington, DC, United States","Zhou, Y., Department of Engineering Management and Systems Engineering at the George Washington University, Washington, DC, United States; Mazzuchi, T.A., Department of Engineering Management and Systems Engineering at the George Washington University, Washington, DC, United States; Sarkani, S., Department of Engineering Management and Systems Engineering at the George Washington University, Washington, DC, United States","Network intrusion detection remains a challenging research area as it involves learning from large-scale imbalanced multiclass datasets. While machine learning algorithms have been widely used for network intrusion detection, most standard techniques cannot achieve consistent good performance across multiple classes. In this paper we proposed a novel ensemble system based on the modified adaptive boosting with area under the curve (M-AdaBoost-A) algorithm to detect network intrusions more effectively. We combined multiple M-AdaBoost-A-based classifiers into an ensemble by employing various strategies, including particle swarm optimization. To the best of our knowledge, this study is the first to utilize the M-AdaBoost-A algorithm, which incorporates the area under the curve into the boosting process for addressing class imbalance in network intrusion detection. Compared with existing standard techniques, our proposed ensemble system achieved superior performance across multiple classes in both 802.11 wireless intrusion detection and traditional enterprise intrusion detection. © 2020 Elsevier Ltd","Boosting; Class imbalance; Ensemble learning; Machine learning; Network intrusion detection; Particle swarm optimization","Elsevier Ltd"
"Mortaz E.","Imbalance accuracy metric for model selection in multi-class imbalance classification problems",2020,"210",,"106490","","",,"10.1016/j.knosys.2020.106490","Lubin school of business, Pace University, One Pace Plaza, New York, NY  10038, United States","Mortaz, E., Lubin school of business, Pace University, One Pace Plaza, New York, NY  10038, United States","The overall accuracy, macro precision, macro recall, F-score and class balance accuracy, due to their simplicity and easy interpretation, have been among the most popular metrics to measure the performance of classifiers on multi-class problems. However, on imbalance datasets, some of these metrics can be unfairly influenced by heavier classes. Therefore, it is recommended that they are used as a group and not individually. This strategy can unnecessarily complicate the model selection and evaluation in imbalance datasets. In this paper, we introduce a new metric, imbalance accuracy metric (IAM), that can be used as a solo measure for model evaluation and selection. The IAM is built up on top of the existing metrics, is simple to use, and easy to interpret. This metric is meant to be used as a bottom-line measure aiming to eliminate the need for group metric computation and simplify the model selection. © 2020 Elsevier B.V.","Classification accuracy; Imbalance datasets; Knowledge discovery; Machine learning; Multi-class problems","Elsevier B.V."
"Jamal N., Xianqiao C., Hussain Abro J., Tukhtakhunov D.","Sentimental Analysis based on hybrid approach of Latent Dirichlet Allocation and Machine Learning for Large-Scale of Imbalanced Twitter Data",2020,,,"3446413","","",,"10.1145/3446132.3446413","School of Computer Science and Technology, Wuhan University of Technology, Wuhan, 430070, China","Jamal, N., School of Computer Science and Technology, Wuhan University of Technology, Wuhan, 430070, China; Xianqiao, C., School of Computer Science and Technology, Wuhan University of Technology, Wuhan, 430070, China; Hussain Abro, J., School of Computer Science and Technology, Wuhan University of Technology, Wuhan, 430070, China; Tukhtakhunov, D., School of Computer Science and Technology, Wuhan University of Technology, Wuhan, 430070, China","Emotions classification in large amount of Twitter's data is very effective to analyze the users' mood about a concerned product, news, topic, and so on. However, it is really a challenging task to extract meaningful features from a burst of raw tweets as emotions are subjective with limited fuzzy boundaries. These subjective features can be expressed in different terminologies and perceptions. In this paper, we proposed a hybrid approach of LDA and machine learning to predict emotions for large scale of imbalanced tweets. First, the raw tweets are preprocessed using tokenization method for capturing useful features without noisy information. Second, the local and global feature's importance is estimated by applying TFIDF statistical technique. Third, the Latent Dirichlet Allocation (LDA) topic modeling method is used to extract topics from these features. These topics explain concepts of related tweet which is really helpful for classification. Fourth, the Adaptive Synthetic (ADASYN) class balancing technique is applied to oversample the data and balance each class of topic. Finally, the K-Nearest Neighbor (KNN) machine learning algorithm is applied to predict the emotions in extracted topics. The class balancing method increase the significance of minor classes and solve the problem of class imbalance. The proposed approach is evaluated on two different Twitters' emotions datasets. It is proved that, this methodology outperformed as compared to the popular state of the art methods in terms of precision, recall, f-measure and classification accuracy. © 2020 ACM.",,"Association for Computing Machinery"
"Sajeeda A., Ahmed S.S., Hossain B.M.M.","Bangla Missing Data Imputation using HexaGAN Framework",2020,,,"9392726","","",,"10.1109/ICCIT51783.2020.9392726","Institute of Information Technology, University of Dhaka, Dhaka, Bangladesh","Sajeeda, A., Institute of Information Technology, University of Dhaka, Dhaka, Bangladesh; Ahmed, S.S., Institute of Information Technology, University of Dhaka, Dhaka, Bangladesh; Hossain, B.M.M., Institute of Information Technology, University of Dhaka, Dhaka, Bangladesh","Missing values within data affect the performance of machine learning models. HexaGAN is a framework that addresses the problem of missing data along with the issues of class imbalance and missing labels via a technique called imputation. Frequently, real-world datasets encounter the aforementioned problem. In our work, we attend the missing data problem by introducing missing data into MNIST handwritten-numerical dataset and Bangla handwritten-numerical dataset named NumtaDB. Root mean square error (rmse) and F1 score are computed to evaluate the performance of missing data imputation and digitrecognition classification of imputed images. K-Nearest Neighbor is used for digit-recognition. Results indicated lower rmse and F1 scores which implies that the imputation performed by HexaGAN is reliable. © 2020 IEEE.","Bangla; GAN; Generative Adversarial Networks; Imputation; Missing Data","Institute of Electrical and Electronics Engineers Inc."
"Hasan K.A., Hasan M.A.M.","Prediction of Clinical Risk Factors of Diabetes Using Multiple Machine Learning Techniques Resolving Class Imbalance",2020,,,"9392694","","",,"10.1109/ICCIT51783.2020.9392694","Rajshahi University of Engineering Technology, Department of Computer Science and Engineering, Rajshahi, Bangladesh","Hasan, K.A., Rajshahi University of Engineering Technology, Department of Computer Science and Engineering, Rajshahi, Bangladesh; Hasan, M.A.M., Rajshahi University of Engineering Technology, Department of Computer Science and Engineering, Rajshahi, Bangladesh","Being the most common and rapidly growing disease, Diabetes affecting a huge number of people from all span of ages each year that reduces the lifespan. Having a high affecting rate, it increases the significance of initial diagnosis. Diabetes brings other complicated complications like cardiovascular disease, kidney failure, stroke, damaging the vital organs etc. Early diagnosis of diabetes reduces the likelihood of transiting it into a chronic and severe state. The identification and analysis of risk factors of different spinal attributes help to identify the prevalence of diabetes in medical diagnosis. The prevalence measure and identification of diabetes in the early stages reduce the chances of future complications. In this research, the collective NHANES dataset of 1999-2000 to 2015-2016 was used and the purposes of this research were to analyze and ascertain the potential risk factors correlated with diabetes by using Logistic Regression, ANOVA and also to identify the abnormalities by using multiple supervised machine learning algorithms. Class imbalance, outlier problems were handled and experimental results show that age, blood-related diabetes, cholesterol and BMI are the most significant risk factors that associated with diabetes. Along with this, the highest accuracy score.90 was achieved with the random forest classification method. © 2020 IEEE.","Class Imbalance; Classification; Logistic Regression; Machine Learning; Outliers; Risk Factors Analysis","Institute of Electrical and Electronics Engineers Inc."
"Li N., Li B., Han Y., Gao L.","Dual cost-sensitivity factors-based power system transient stability assessment",2020,"14","24",,"5816","5822",,"10.1049/iet-gtd.2020.0365","Key Laboratory of Modern Power System Simulation and Control and Renewable Energy Technology, Ministry of Education, Northeast Electric Power University, Jilin, China; Department of Electrical Engineering, Northeast Electric Power University, 169 Changchun Road, Jilin, China; State Grid Inner Mongolia Eastern Power Co., Ltd., Economic and Technological Research Institute, Huhhot, 010020, China; China Electric Power Research Institute, Beijing, 100192, China","Li, N., Key Laboratory of Modern Power System Simulation and Control and Renewable Energy Technology, Ministry of Education, Northeast Electric Power University, Jilin, China, Department of Electrical Engineering, Northeast Electric Power University, 169 Changchun Road, Jilin, China; Li, B., Key Laboratory of Modern Power System Simulation and Control and Renewable Energy Technology, Ministry of Education, Northeast Electric Power University, Jilin, China, Department of Electrical Engineering, Northeast Electric Power University, 169 Changchun Road, Jilin, China; Han, Y., State Grid Inner Mongolia Eastern Power Co., Ltd., Economic and Technological Research Institute, Huhhot, 010020, China; Gao, L., China Electric Power Research Institute, Beijing, 100192, China","In actual power system operation, there is a significant imbalance between the number of stable and unstable samples, and the misclassification costs of the two classes of samples are different. In addition to the class imbalance, there is another imbalance of regional samples in the feature space. In order to reduce the impact of class imbalance and regional imbalance on the performance of the model, a method of dual cost-sensitivity factors for transient stability assessment is proposed. The method sets the balance factor and modulating factor in the loss function of light gradient boosting machine. The former corrects the classification bias caused by class imbalance, and the latter focuses on improving the classification accuracy of overlapping area samples. Combining the two factors, the model not only improves the accuracy of unstable samples, but also reduces the misjudgement of stable samples. In online application, a fast update scheme with memory function is proposed. In this scheme, incremental learning is used to update the model with fewer samples and less computational time, so as to achieve better evaluation performance. Case studies on three power systems demonstrate the generalisation performance of the proposed model and the effectiveness of the update scheme. © The Institution of Engineering and Technology 2020",,"Institution of Engineering and Technology"
"Rajcomar S., Pillay A.W., Jembere E.","Paired Augmentation for Improved Image Classification using Neural Network Models",2020,,,"9411553","","",,"10.1109/CSDE50874.2020.9411553","University of KwaZulu-Natal, School of Mathematics, Statistics and Computer Science, Durban, 4041, South Africa; Centre for Artificial Intelligence Research, Cair","Rajcomar, S., University of KwaZulu-Natal, School of Mathematics, Statistics and Computer Science, Durban, 4041, South Africa, Centre for Artificial Intelligence Research, Cair; Pillay, A.W., University of KwaZulu-Natal, School of Mathematics, Statistics and Computer Science, Durban, 4041, South Africa, Centre for Artificial Intelligence Research, Cair; Jembere, E., University of KwaZulu-Natal, School of Mathematics, Statistics and Computer Science, Durban, 4041, South Africa, Centre for Artificial Intelligence Research, Cair","The lack of sufficient data points and class imbalances in datasets is a serious problem that mitigates against the success of deep learning classification models. These problems result in model overfitting, poor accuracy, and poor generalization. Traditional augmentation techniques, and advanced augmentation, such as adversarial approaches, have individually been found to be effective. In this work, we present a method to determine the most effective augmentation techniques to combine into the machine learning pipeline. We propose using only two augmentations in the pipeline, an advanced technique applied in an offline manner followed by a simple technique applied in an online manner. This approach is validated by application to two medical image problems using datasets characterized by class imbalances and small sizes. The former is a binary classification problem using a brain tumor dataset and the latter is a multi-label classification problem using a white blood cell dataset. Exhaustive experimentation with approximately 170 different combinations of augmentations methods is reported. Experimental results indicate a 15% and 11% improvement in validation accuracy over using no augmentation and a 2% improvement over using a single augmentation. We conclude that the pairing of augmentation methods results in improvements in the classification tasks. © 2020 IEEE.","Augmentation; Computer vision.; Image Classification; Image Processing; Neural Networks","Institute of Electrical and Electronics Engineers Inc."
"Yang X., Khushi M., Shaukat K.","Biomarker CA125 Feature Engineering and Class Imbalance Learning Improves Ovarian Cancer Prediction",2020,,,"9411607","","",,"10.1109/CSDE50874.2020.9411607","The University of Sydney, School of Computer Science, Sydney, Australia; The University of Newcastle, School of Electrical Engineering and Computing, Callaghan, NSW  2308, Australia","Yang, X., The University of Sydney, School of Computer Science, Sydney, Australia; Khushi, M., The University of Sydney, School of Computer Science, Sydney, Australia; Shaukat, K., The University of Newcastle, School of Electrical Engineering and Computing, Callaghan, NSW  2308, Australia","Ovarian cancer is a fatal female reproductive cancer because it has no specific clinical manifestations and effective screening methods in the early stage. When it is discovered, it is already an advanced stage with a low cure rate. Therefore, it is of great significance to improve the diagnostic ability of early screening for ovarian cancer. In this study, we feature engineered CA125 by calculating the rate of change of CA125 in addition to selecting a few top-ranked important features from PLCO ovarian cancer dataset. The dataset was extremely imbalanced; the imbalance ratio (ratio of negative samples in the majority class to positive examples in the minority class) was 143.7. Twenty-three types of class-imbalanced learning methods were used in this study to improve the predictive ability of the model. We identified the decision tree method with the highest AUC value among nine classic classifiers (decision tree, AdaBoost, etc.) to build a model with the class imbalance method, and showed their comparison. We identified the decision tree using SVMSMOTE has the most robust predictive ability for ovarian cancer, with a PPV of 0.9041, AUC of 0.9532, the sensitivity of 0.7792, and specificity of 0.9982. The high PPV shown by the model selected in this study indicates that the true positive samples predicted by the model account for 90.41%. Compared with other studies, the PPV of this study increased by 81.3%. This study helps to improve the accuracy of early screening for ovarian cancer and makes the diagnosis of ovarian cancer more reliable. © 2020 IEEE.","Class Imbalance; Feature Engineering; Machine Learning; Ovarian Cancer","Institute of Electrical and Electronics Engineers Inc."
"Yadav S., Bhole G.P.","Handling Imbalanced Dataset Classification in Machine Learning",2020,,,"9362471","38","43",,"10.1109/PuneCon50868.2020.9362471","Veermata Jijabai Technological Institute, Department of Computer Engineering and Information Technology, Mumbai, India","Yadav, S., Veermata Jijabai Technological Institute, Department of Computer Engineering and Information Technology, Mumbai, India; Bhole, G.P., Veermata Jijabai Technological Institute, Department of Computer Engineering and Information Technology, Mumbai, India","Real world dataset consists of normal instances with lesser percentage of interesting or abnormal instances. The cost of misclassifying an abnormal instance as normal instance is very high. The majority class is normal class whereas minority class is the abnormal one. Researchers in data mining and machine learning are looking out numerous strategies to resolve issues associated with dataset that is unbalanced and also the challenges featured in way of life. Irregular distribution in the dataset is the motive behind declining performance of classifier. There are mainly two methods, algorithm based and data level based, the utmost widespread methodology associated to the current is hybrid method. The task of decision making and overall classification accuracy is affected due to bias for majority class. Ensemble technique is an effective technique. The objective of study is providing background related to imbalance class issues, way out to confront the disputes and challenges in studying unbalanced data. In support to experimental result accompanied on one of the dataset, ensemble technique in adjacent to different strategies of data-level offers improved outcomes. The fusion of techniques is going to be advantageous for several applications in real-life like intrusion detection, medical diagnosis, software defect prediction, etc. © 2020 IEEE.","Bias; Classifier; Imbalance class; Machine learning; Minority and majority class; Sampling","Institute of Electrical and Electronics Engineers Inc."
